Genus Name	Species Name	Synonym	Family	Order	Class	Common Name	Species Code	Growth Form	Percent Leaf Type	Leaf Type	Growth Rate	Longevity	Height at Maturity (feet)
Arctostaphylos	gabrielensis		Ericaceae	Ericales	Dilleniidae	San gabriel manzanita	ARGA4	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	glandulosa		Ericaceae	Ericales	Dilleniidae	Eastwood's manzanita	ARGL3	Shrub	Hardwood	Evergreen	Slow	Long	8
Arctostaphylos	glauca	Arctostaphylos glauca var. puberula	Ericaceae	Ericales	Dilleniidae	Bigberry manzanita	ARGL4	Shrub or small tree	Hardwood	Evergreen	Slow	Long	18
Arctostaphylos	glutinosa		Ericaceae	Ericales	Dilleniidae	Schreiber's manzanita	ARGL5	Shrub	Hardwood	Evergreen	Slow		7
Arctostaphylos	heller		Ericaceae	Ericales	Dilleniidae	Heller's manzanita	ARHE4	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	hispidula	"Arctostaphylos pungens ssp. hispidula, Arctostaphylos hispidula var. viscosissima, Arctostaphylos stanfordiana ssp. hispidula"	Ericaceae	Ericales	Dilleniidae	Gasquet manzanita	ARHI5	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	hooveri		Ericaceae	Ericales	Dilleniidae	Hoover's manzanita	ARHO7	Shrub	Hardwood	Evergreen	Slow		10
Arctostaphylos	imbricata	Arctostaphylos andersonii var. imbricata	Ericaceae	Ericales	Dilleniidae	San bruno manzanita	ARIM	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	insularis	Arctostaphylos insularis var. pubescens	Ericaceae	Ericales	Dilleniidae	Island manzanita	ARIN2	Shrub	Hardwood	Evergreen	Slow		7
Arctostaphylos	x jepsonii		Ericaceae	Ericales	Dilleniidae	Jepson's manzanita	ARJE	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	x laxiflora		Ericaceae	Ericales	Dilleniidae	Lazyflower manzanita	ARLA21	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	luciana		Ericaceae	Ericales	Dilleniidae	Santa lucia manzanita	ARLU4	Shrub	Hardwood	Evergreen	Slow		15
Arctostaphylos	malloryi	Arctostaphylos canescens ssp. malloryi	Ericaceae	Ericales	Dilleniidae	Mallory's manzanita	ARMA31	Shrub	Hardwood	Evergreen	Slow		4
Arctostaphylos	manzanita		Ericaceae	Ericales	Dilleniidae	Whiteleaf manzanita	ARMA	Shrub	Hardwood	Evergreen	Slow		15
Arctostaphylos	medi		Ericaceae	Ericales	Dilleniidae	Intermediate manzanita	ARME7	Shrub	Hardwood	Evergreen	Slow		3
Arctostaphylos	mendocinoensis		Ericaceae	Ericales	Dilleniidae	Pygmy manzanita	ARME8	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	mewukka		Ericaceae	Ericales	Dilleniidae	Indian manzanita	ARME3	Shrub	Hardwood	Evergreen	Slow		8
Arctostaphylos	montaraensis	Arctostaphylos imbricata ssp. montaraensis	Ericaceae	Ericales	Dilleniidae	Montara manzanita	ARMO5	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	montereyensis		Ericaceae	Ericales	Dilleniidae	Monterey manzanita	ARMO6	Shrub	Hardwood	Evergreen	Slow		9
Arctostaphylos	moranii		Ericaceae	Ericales	Dilleniidae	Moran's manzanita	ARMO12	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	morroensis		Ericaceae	Ericales	Dilleniidae	Morro manzanita	ARMO2	Shrub	Hardwood	Evergreen	Slow		6
Arctostaphylos	myrtifolia	Arctostaphylos uva-ursi ssp. myrtifolia	Ericaceae	Ericales	Dilleniidae	Ione manzanita	ARMY	Shrub	Hardwood	Evergreen	Slow		4
Arctostaphylos	nisseniana		Ericaceae	Ericales	Dilleniidae	Nissenan manzanita	ARNI	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	nortensis	Arctostaphylos columbiana ssp. nortensis	Ericaceae	Ericales	Dilleniidae	Del norte manzanita	ARNO6	Shrub or small tree	Hardwood	Evergreen	Slow		25
Arctostaphylos	obispoensis		Ericaceae	Ericales	Dilleniidae	Serpentine manzanita	AROB	Shrub	Hardwood	Evergreen	Slow		8
Arctostaphylos	osoensis		Ericaceae	Ericales	Dilleniidae	Oso manzanita	AROS	Shrub	Hardwood	Evergreen	Slow		3
Arctostaphylos	otayensis		Ericaceae	Ericales	Dilleniidae	Otay manzanita	AROT	Shrub	Hardwood	Evergreen	Slow		15
Arctostaphylos	pacifica	Arctostaphylos uva-ursi var. saxicola	Ericaceae	Ericales	Dilleniidae	Pacific manzanita	ARPA19	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	pajaroensis		Ericaceae	Ericales	Dilleniidae	Pajaro manzanita	ARPA3	Shrub	Hardwood	Evergreen	Slow		12
Arctostaphylos	pallida	Arctostaphylos andersonii var. pallida	Ericaceae	Ericales	Dilleniidae	Alameda manzanita	ARPA21	Shrub	Hardwood	Evergreen	Slow		13
Arctostaphylos	parryana		Ericaceae	Ericales	Dilleniidae	Parry manzanita	ARPA4	Shrub	Hardwood	Evergreen	Slow		3
Arctostaphylos	patula	"Arctostaphylos patula var. coalescens, Arctostaphylos parryana var. pinetorum, Arctostaphylos acutifolia, Arctostaphylos patula ssp. platyphylla"	Ericaceae	Ericales	Dilleniidae	Greenleaf manzanita	ARPA6	Shrub	Hardwood	Evergreen	Slow		7
Arctostaphylos	pechoensis		Ericaceae	Ericales	Dilleniidae	Pecho manzanita	ARPE5	Shrub	Hardwood	Evergreen	Fast		5
Arctostaphylos	peninsularis		Ericaceae	Ericales	Dilleniidae	Peninsular manzanita	ARPE9	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	pilosula	Arctostaphylos pilosula ssp. pismoensis	Ericaceae	Ericales	Dilleniidae	La panza manzanita	ARPI	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	pringlei		Ericaceae	Ericales	Dilleniidae	Pringle manzanita	ARPR	Shrub or small tree	Hardwood	Evergreen	Slow		25
Arctostaphylos	pugens		Ericaceae	Ericales	Dilleniidae	Pointleaf manzanita	ARPU	Shrub	Hardwood	Deciduous	Slow		4
Arctostaphylos	purissima		Ericaceae	Ericales	Dilleniidae	La purissima manzanita	ARPU10	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	rainbowensis		Ericaceae	Ericales	Dilleniidae	Rainbow manzanita	ARRA7	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	refugioensis		Ericaceae	Ericales	Dilleniidae	Refugio manzanita	ARRE5	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	regismontana		Ericaceae	Ericales	Dilleniidae	Kings mountain manzanita	ARRE7	Shrub	Hardwood	Evergreen	Slow		12
